zip_code,City,State,Latitude,Longitude,Classification,Population
"50319","DES MOINES","IA","41.6006","-93.6087","","0"
"12224","ALBANY","NY","42.6525","-73.7567","P","0"
"53703","MADISON","WI","43.0707","-89.3757","","27958"
"78701","AUSTIN","TX","30.2672","-97.7423","","6841"
"95814","SACRAMENTO","CA","38.5817","-121.4959","","9922"
"37243","NASHVILLE","TN","36.1623","-86.7847","U","0"
"23218","RICHMOND","VA","37.5539","-77.4608","P","0"
"06106","HARTFORD","CT","41.7450","-72.6857","","39902"
"97301","SALEM","OR","44.9586","-123.0026","","53518"
"70802","BATON ROUGE","LA","30.4425","-91.1694","","27267"
"59601","HELENA","MT","46.5290","-112.1225","","29283"
"25305","CHARLESTON","WV","38.3365","-81.6104","","0"
"62756","SPRINGFIELD","IL","39.8018","-89.6436","U","0"
"87501","SANTA FE","NM","35.7091","-105.8594","","15147"
"58505","BISMARCK","ND","46.8201","-100.7801","","2"
"85007","PHOENIX","AZ","33.4459","-112.0912","","14040"
"55155","SAINT PAUL","MN","44.9445","-93.0932","U","0"
"98504","OLYMPIA","WA","47.0442","-122.9007","U","0"
"40601","FRANKFORT","KY","38.2326","-84.8983","","49566"
"83702","BOISE","ID","43.6645","-116.1646","","22293"
"80203","DENVER","CO","39.7320","-104.9825","","18839"
"84103","SALT LAKE CITY","UT","40.7864","-111.8689","","21084"
"68508","LINCOLN","NE","40.8179","-96.7090","","14475"
"73105","OKLAHOMA CITY","OK","35.5183","-97.5041","","5210"
"82001","CHEYENNE","WY","41.1418","-104.7792","","35484"
"65101","JEFFERSON CITY","MO","38.4834","-92.1239","","30587"
"30334","ATLANTA","GA","33.7487","-84.3874","","1"
"48933","LANSING","MI","42.7314","-84.5539","","2530"
"36104","MONTGOMERY","AL","32.3925","-86.3288","","9468"
"32399","TALLAHASSEE","FL","30.4197","-84.2333","U","2"
"66612","TOPEKA","KS","39.0407","-95.6793","","2477"
"57501","PIERRE","SD","44.5671","-100.2672","","16309"
"27601","RALEIGH","NC","35.7752","-78.6343","","9450"
"99801","JUNEAU","AK","58.3801","-134.1775","","29164"
"06103","HARTFORD","CT","41.7652","-72.6720","","1410"
"19901","DOVER","DE","39.1576","-75.4940","","35055"
"96813","HONOLULU","HI","21.3286","-157.8286","","22881"
"46204","INDIANAPOLIS","IN","39.7728","-86.1594","","5125"
"04330","AUGUSTA","ME","44.3788","-69.7310","","26086"
"21401","ANNAPOLIS","MD","38.9934","-76.5470","","36012"
"02133","BOSTON","MA","42.3572","-71.0796","","0"
"39201","JACKSON","MS","32.2889","-90.1843","","536"
"89701","CARSON CITY","NV","39.1484","-119.6629","","27625"
"03303","CONCORD","NH","43.3014","-71.6778","","15524"
"08608","TRENTON","NJ","40.2188","-74.7668","","983"
"43215","COLUMBUS","OH","39.9687","-83.0257","","12790"
"17120","HARRISBURG","PA","40.2682","-76.8822","U","0"
"02903","PROVIDENCE","RI","41.8182","-71.4097","","10780"
"29208","COLUMBIA","SC","33.9984","-81.0280","U","695"
"05633","MONTPELIER","VT","44.2601","-72.5759","U","0"
"20004","WASHINGTON","DC","38.8924","-77.0206","'","1622"
